Compound Name,Formula,Mass,RT,CAS ID,Eva_pos_01,Eva_pos_02,Eva_pos_03,Eva_pos_04,Eva_pos_05,Eva_pos_06,Eva_pos_07,Eva_pos_08,Eva_pos_09,Eva_pos_10,Eva_pos_11,Eva_pos_12,Eva_pos_blank01,Eva_pos_blank02,Eva_pos_blank03,Eva_pos_QC00,Eva_pos_QC01,Eva_pos_QC02,Eva_pos_QC03,Eva_pos_QC04
w/o MS2:HexCer 16:0/21:0_1_msd1593_pos,,759.6211,4.63,,543015.7099,836178.2703,680044.6452,817610.2008,701994.817,908922.3938,614024.8354,919138.0872,651106.5382,809473.2311,772661.3237,838840.1393,812280.935,806720.2613,808589.6619,845208.4082,784491.558,781961.2664,767209.6027,780041.4435
w/o MS2:HexCer 16:2/20:2_1_msd2690_pos,,737.5488,8.71,,56498.55815,90481.31881,86978.91631,95651.08431,70011.96836,89842.97411,97082.94557,89323.33144,79380.07059,95683.25107,93163.23799,78179.23,97356.37066,83534.34811,73712.9435,72131.8417,80355.15606,78839.35543,75986.65949,70170.09128
w/o MS2:HexCer 8:0/14:1_1_msd145_pos,,531.3752,0.81,,113475.0196,89758.09809,86545.12118,80436.3469,96028.89731,93148.84034,86541.73455,63880.59013,91346.83844,69636.01661,95150.50487,90098.73479,127946.1785,104566.6763,70250.44815,117103.7134,98666.1161,88301.97999,91592.19333,81862.88427
w/o MS2:HexCer 8:0/16:1_1_msd344_pos,,559.407,1.04,,262287.5256,253393.3931,250584.2002,237627.599,251896.4171,255134.485,232179.2913,257901.1165,253715.3929,237411.1883,249021.4138,249289.1331,375757.8248,297064.5703,302921.8381,300406.2689,256591.3923,254669.9979,248289.8061,248698.4664
w/o MS2:HexCer 8:0/18:2H)_1_msd280_pos,,617.4131,0.95,,66448.47919,60357.59346,60455.34724,56622.48126,59550.7302,57834.21504,50149.92173,58569.67471,60347.91131,59697.78586,58522.09881,56898.90795,84646.71615,66464.26803,67216.7294,74722.80056,63267.71681,61390.1067,62139.19962,57573.0279
w/o MS2:HexCer 8:0/19:1H)_1_msd188_pos,,633.4453,0.85,,2424989.635,2431792.223,2427337.593,2312718.344,2474365.611,2408844.761,2181121.211,2491053.371,2431627.901,2265149.419,2428852.517,2320081.051,3379364.35,2815010.43,2837789.268,2884002.434,2468957.812,2483210.346,2420235.25,2409888.876
w/o MS2:HexCer 8:0/30:3_1_msd2094_pos,,751.5989,5.05,,294926.294,294960.8654,312346.7984,282957.2651,304548.1555,324901.2612,268217.3461,341750.9901,328504.3328,285519.7164,313819.5654,321275.4029,466213.1073,453215.8383,462069.1008,350094.5939,325644.1632,315189.3835,294164.4547,285905.5283
w/o MS2:HexCer 8:0/32:5_1_msd1613_pos,,775.594,4.64,,65134.83289,121656.0063,89423.59765,125415.4287,96804.11328,124456.3384,83515.92157,112691.1877,86567.79939,130049.5259,93364.16396,122464.4724,157693.0073,156380.8824,162108.4465,107672.628,110309.5043,91679.34813,100701.484,112712.3203
w/o MS2:HexCer 8:0/32:6_1_msd1742_pos,,773.5808,5.05,,137358.0601,158094.4179,145770.7539,146094.6114,151821.2429,156979.492,141531.2469,134075.2548,151677.77,140877.0867,151850.2165,136355.1933,208112.3122,178948.727,192372.6893,166072.8213,155748.7498,151765.0739,157888.0625,125519.4581
w/o MS2:HexCer 8:0/33:1H)_1_msd2542_pos,,829.6659,10.8,,67992.52935,67060.87009,68751.71707,61198.63056,69211.08683,73627.45402,68981.85675,76689.93142,68131.28407,72797.93895,72699.74111,69427.77411,98192.39018,76282.97392,79838.09747,67926.21559,65409.09486,72201.07753,73003.96249,73957.59457
