RT [min],CCS,m/z meas.,Original annotation,Molecular Formula,Annotations,AQ,Name for process,Ions,ID library,Positive id forms,Positive id forms formatted,ID confidence,Annotation Source,mSigma,MS/MS score,mz,BlankC1,BlankC2,BlankC3,BlankC4,BlankC5,BlankC6,QC01,QC02,QC03,E3,E6,F3,F5,F4,E2,QC04,F2,F1,F6,E5,E4,E1,QC05
0.92,241.8,586.31278,LPC 20:5,C28H48NO7P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,10121,LPC 20:5_586.313_0.92_[M+HCOOH-H]-_low,[M+HCOOH-H]-,Spectral Library,1,1,low,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,71.7,956.4,-3.863,0,0,0,0,0,0,11251,11037,9354,26015,16872,34577.4,39239,31443,22042,12247,30179,28584,43442,16556,20160,22679,15474
2.3,259.1,624.42156,LPC 22:0,C30H62NO7P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,10222,LPC 22:0_624.422_2.3_[M+HCOOH-H]-_Medium,[M+HCOOH-H]-,Spectral Library,3,3,Medium,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,40.1,725.3,-4.704,3617,0,25265,0,4655,0,43557,44298,43761,51271,45312,45761.2,49104,48884,40425,46346,48748,37753,44317,46115,53410,35525,48645
1.31,249.4,616.36001,LPC 22:4,C30H54NO7P,"Lipid Species, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",10122,LPC 22:4_616.36_1.31_[M+HCOO]-_Medium,[M+HCOO]-,Lipid Species,2,2,Medium,,59.7,801.5,-3.102,0,0,0,0,0,0,30390,29567,33400,51446,39352,49700.2,43505,41654,81382,38152,81143,37585,44614,33738,45595,52835,36273
1.09,248.2,614.34366,LPC 22:5,C30H52NO7P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,10212,LPC 22:5_614.344_1.09_[M+HCOOH-H]-_low,[M+HCOOH-H]-,Spectral Library,2,2,low,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,45.6,680.1,-4.574,1758,6189,12830,0,0,0,20496,18513,19047,31720,22164,30660.8,26899,28270,44716,20652,44133,24517,29485,21572,26621,29687,23398
1.02,247.3,612.32938,LPC 22:6,C30H50NO7P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,10222,LPC 22:6_612.329_1.02_[M+HCOOH-H]-_Medium,[M+HCOOH-H]-,Spectral Library,3,3,Medium,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,37,873.8,-2.159,0,6115,11736,0,0,0,57987,54556,62558,78165,59975,83924,72205,75146,93837,61028,119342,65821,87106,59631,60735,82433,67331
2.3,262.7,650.43858,LPC 24:1,C32H64NO7P,"Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",10212,LPC 24:1_650.439_2.3_[M+HCOOH-H]-_low,[M+HCOOH-H]-,Spectral Library,2,2,low,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,33.4,558.9,-2.673,0,0,0,0,0,0,139964,147667,150060,202530,128638,152594.8,150992,167550,149206,149415,191048,107317,146067,120391,180583,121499,152019
1.21,254,640.36028,LPC 24:6,C32H54NO7P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,10121,LPC 24:6_640.36_1.21_[M+HCOOH-H]-_low,[M+HCOOH-H]-,Spectral Library,1,1,low,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,67.7,722.5,-2.676,0,0,0,0,0,0,8429,7474,8703,13190,9796,10971.6,9090,9852,20151,9134,18831,8271,8814,9217,9907,12827,10887
1.23,233.6,510.3185,LPC O-15:1,C23H48NO6P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,10221,LPC O-15:1_510.319_1.23_[M+HCOOH-H]-_low,[M+HCOOH-H]-,Spectral Library,2,2,low,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,31.1,963.5,-3.204,0,0,0,0,0,0,19031,20813,19794,27153,27639,29991.6,32788,30117,25468,23297,31849,22840,32364,23537,26508,20098,24271
1.6,237.4,526.35127,LPC O-16:0,C24H52NO6P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,20222,LPC O-16:0_526.351_1.6_[M+HCOOH-H]-_High,[M+HCOOH-H]-,Spectral Library,4,4,High,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,14.5,952.8,-0.302,1918,4683,7572,0,0,0,91279,95454,96928,107557,88793,197280.4,125005,144300,185412,105926,438218,120564,158315,81698,90343,88629,112996
1.53,237.5,524.33482,LPC O-16:1,C24H50NO6P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,20222,LPC O-16:1_524.335_1.53_[M+HCOOH-H]-_High,[M+HCOOH-H]-,Spectral Library,4,4,High,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,33.4,917.6,-1.983,0,0,2719,0,0,0,82716,90294,88952,144379,113195,137691.8,133506,124206,142180,94526,191507,98900,140340,109574,124327,96598,109194
1.84,240.4,540.36503,LPC O-17:0,C25H54NO6P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,10121,LPC O-17:0_540.365_1.84_[M+HCOOH-H]-_low,[M+HCOOH-H]-,Spectral Library,1,1,low,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,52.4,908.8,-4.341,0,0,1503,0,0,0,5693,6514,4989,5831,6110,9783.6,8260,8803,9096,8004,15556,5981,10318,6153,5657,4596,7490
1.96,244,554.38014,LPC O-18:0,C26H56NO6P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,10222,LPC O-18:0_554.38_1.96_[M+HCOOH-H]-_Medium,[M+HCOOH-H]-,Spectral Library,3,3,Medium,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,19.3,940.1,-4.75,0,0,0,0,0,0,45504,44450,40560,43962,41678,60491.6,49868,52184,46540,21528,99257,37576,63573,36238,32087,29222,45270
1.66,241.3,552.36667,LPC O-18:1,C26H54NO6P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,20222,LPC O-18:1_552.367_1.66_[M+HCOOH-H]-_High,[M+HCOOH-H]-,Spectral Library,4,4,High,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,15.5,949.5,-0.666,0,2649,4199,0,0,0,60168,64274,67079,83559,57147,103646.6,70935,75615,131615,69777,220159,67783,83741,52310,64247,61351,73320
1.93,243.5,552.36506,LPC O-18:1,C26H54NO6P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,10121,LPC O-18:1_552.365_1.93_[M+HCOOH-H]-_low,[M+HCOOH-H]-,Spectral Library,1,1,low,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,60.8,934.4,-2.674,0,0,0,0,4158,0,115011,111681,113064,103837,123692,136799,126002,123482,136471,112667,193276,93877,147358,116319,99081,76710,110258
1.6,242,550.35044,LPC O-18:2,C26H52NO6P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,20111,LPC O-18:2_550.35_1.6_[M+HCOOH-H]-_low,[M+HCOOH-H]-,Spectral Library,1,1,low,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,50.6,637.1,-1.89,0,0,0,0,0,0,43905,42713,45069,68647,44516,61274.2,51686,53725,76511,50766,98221,45642,57097,42434,55560,48932,52401
1.44,211,452.27696,LPE 16:0,C21H44NO7P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,10121,LPE 16:0_452.277_1.44_[M-H]-_low,[M-H]-,Spectral Library,1,1,low,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,79.6,976,-2.996,0,0,0,0,0,0,120654,125242,121635,152647,130793,206760,140321,159699,290639,138786,457632,129281,146867,130027,152756,124357,159126
1.11,208.4,450.26147,LPE 16:1,C21H42NO7P,"Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Lipid Species",10212,LPE 16:1_450.261_1.11_[M-H]-_Medium,[M-H]-,Lipid Species,2,2,Medium,,30.7,796.7,-2.581,0,0,0,0,0,0,31096,33955,35255,42146,30689,49357.4,28794,36483,97719,37493,120366,27318,33826,30576,34491,43619,36627
1.7,215.7,466.29245,LPE 17:0,C22H46NO7P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,10221,LPE 17:0_466.292_1.7_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,40.3,982.9,-2.811,0,0,0,0,0,0,16418,15903,17609,19443,16666,26484.6,17641,19840,38271,17076,58859,14596,21487,15454,16763,14266,19314
1.28,211.9,464.27791,LPE 17:1,C22H44NO7P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,20121,LPE 17:1_464.278_1.28_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,52.7,964.6,-0.753,0,0,0,0,0,0,9056,8460,8592,12064,7483,14826.8,12698,8545,0,13386,28866,8963,15062,7531,10026,9586,10335
1.89,218.6,480.30777,LPE 18:0,C23H48NO7P,"Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Lipid Species",10222,LPE 18:0_480.308_1.89_[M-H]-_High,[M-H]-,Lipid Species,3,3,High,,39.8,852.4,-3.73,0,5802,11111,0,0,0,1462228,1437898,1500999,1446338,1281725,1765095.4,1120618,1395371,2640168,1550697,4109717,929462,1270309,1286242,1335505,1113881,1574632
1.97,218.9,480.30828,LPE 18:0,C23H48NO7P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,10221,LPE 18:0_480.308_1.97_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,32.4,945.6,-3.042,0,0,0,0,0,0,0,53040,55081,121605,46839,60952.4,65564,59487,85156,48394,89647,46352,43712,67170,84049,66463,18598
1.43,215.3,478.29286,LPE 18:1,C23H46NO7P,Lipid Species,10212,LPE 18:1_478.293_1.43_[M-H]-_Medium,[M-H]-,Lipid Species,2,2,Medium,,27.4,794.6,-2.383,0,0,0,0,0,0,112717,126613,130951,215468,127829,206058.6,146857,172373,267368,140534,397688,150464,162911,133778,135767,149194,149482
1.52,215.5,478.29401,LPE 18:1,C23H46NO7P,Lipid Species,20212,LPE 18:1_478.294_1.52_[M-H]-_High,[M-H]-,Lipid Species,3,3,High,,12.8,785,-0.01,0,0,2484,0,0,0,377940,409970,425967,417476,341539,673435.8,381895,427922,1124270,447120,1784068,330544,442750,337965,350048,361265,507019
1.5,216.5,485.33768,LPE 18:1(d7)(is),C23D7H39NO7P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,20221,LPE 18:1(d7)(is)_485.338_1.5_[M-H]-_Medium,[M-H]-,Spectral Library,3,3,Medium,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,6.5,987,-0.351,550891,545859,505853,519157,636447,596469,271984,276266,286438,506823,475131,402585.6,474773,381498,408617,292250,370949,380045,405663,404479,518161,488860,337368
1.21,213.4,476.27657,LPE 18:2,C23H44NO7P,"Lipid Species, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",10222,LPE 18:2_476.277_1.21_[M-H]-_High,[M-H]-,Lipid Species,3,3,High,,43.6,947.4,-3.342,0,0,0,0,0,0,20721,19649,19265,29335,26873,32646.6,23214,25492,56080,25405,70822,18512,25193,23820,27801,28760,24741
2,222.4,494.32337,LPE 19:0,C24H50NO7P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,10221,LPE 19:0_494.323_2_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,48.4,958.6,-3.737,0,0,0,0,0,0,65055,58796,55819,92304,55836,61781,58390,62949,97889,60958,95551,40371,51644,56157,66207,64491,67129
2.11,225.4,508.3394,LPE 20:0,C25H52NO7P,"Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Lipid Species",10012,LPE 20:0_508.339_2.11_[M-H]-_low,[M-H]-,Lipid Species,1,1,low,,?,618,-2.879,0,0,0,0,0,0,57428,57882,51173,59524,61813,59705.4,70074,66963,50566,59623,66674,38818,55998,56583,64829,44220,60468
1.86,222.6,506.32356,LPE 20:1,C25H50NO7P,"Lipid Species, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",10212,LPE 20:1_506.324_1.86_[M-H]-_Medium,[M-H]-,Lipid Species,2,2,Medium,,27.5,710.7,-3.453,0,0,0,0,0,0,28805,0,24758,26880,19204,16330,21062,21122,40141,27130,0,16456,23010,0,19645,22854,26525
1.92,223.1,506.32396,LPE 20:1,C25H50NO7P,"Lipid Species, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",10212,LPE 20:1_506.324_1.92_[M-H]-_Medium,[M-H]-,Lipid Species,2,2,Medium,,25.6,618.8,-2.807,0,0,0,0,0,0,105126,104194,108578,118047,89190,158589.4,90856,97679,285065,114109,448886,65514,90012,76853,109230,89957,120077
1.66,221.1,504.30822,LPE 20:2,C25H48NO7P,"Lipid Species, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",10212,LPE 20:2_504.308_1.66_[M-H]-_Medium,[M-H]-,Lipid Species,2,2,Medium,,43.2,703.3,-2.529,0,0,0,0,0,0,17825,18507,19090,20827,20630,26121,17875,17442,39275,19759,61150,14710,19428,19563,20748,19792,20987
1.25,218.3,502.29211,LPE 20:3,C25H46NO7P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,10221,LPE 20:3_502.292_1.25_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,43.3,952.7,-3.598,0,0,0,0,0,0,20695,22344,23747,30066,20190,30813.8,26258,25928,48998,24315,51462,25211,25210,20549,23275,27999,26266
1.36,220.3,502.29211,LPE 20:3,C25H46NO7P,"Lipid Species, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",10212,LPE 20:3_502.292_1.36_[M-H]-_Medium,[M-H]-,Lipid Species,2,2,Medium,,32,761.6,-3.59,0,0,0,0,0,0,23129,24640,23906,40209,19636,36302.6,24442,27198,60000,25461,77504,24199,28170,23594,28034,37422,29559
1.11,217.9,500.2783,LPE 20:4,C25H44NO7P,"Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Lipid Species",20212,LPE 20:4_500.278_1.11_[M-H]-_High,[M-H]-,Lipid Species,3,3,High,,7.3,760,0.085,0,0,0,0,0,0,170764,185289,176396,350802,268038,381549,346701,317915,597840,201425,585022,296868,361239,240182,244102,326779,247845
0.95,216.6,498.26151,LPE 20:5,C25H42NO7P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,10221,LPE 20:5_498.262_0.95_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,17.6,973.4,-2.197,0,0,0,0,0,0,14727,15371,16972,37374,30920,46343.6,47219,44329,46056,18262,52812,39312,48046,27051,29091,34370,23265
2.37,232.1,536.37073,LPE 22:0,C27H56NO7P,"Lipid Species, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",10212,LPE 22:0_536.371_2.37_[M-H]-_Medium,[M-H]-,Lipid Species,2,2,Medium,,39.7,775,-2.495,6177,0,4629,0,0,0,61823,63807,77167,66292,56270,46304.2,68450,76764,47842,61573,52739,33568,0,56492,80942,48675,69346
2.12,229.6,534.35475,LPE 22:1,C27H54NO7P,"Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Lipid Species",10212,LPE 22:1_534.355_2.12_[M-H]-_Medium,[M-H]-,Lipid Species,2,2,Medium,,40,651.8,-3.301,0,0,0,0,0,0,94761,102246,88168,119545,88796,100982.6,88033,111007,129553,106529,153002,73601,79270,77506,110064,79700,98965
1.97,228.1,532.3392,LPE 22:2,C27H52NO7P,"Lipid Species, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",10222,LPE 22:2_532.339_1.97_[M-H]-_High,[M-H]-,Lipid Species,3,3,High,,40.5,851.3,-3.274,0,0,0,2897,0,0,48862,48313,48098,70556,48511,68346.2,39053,45365,119598,44260,184001,35288,38024,40539,50490,49945,52950
1.75,226.5,530.32383,LPE 22:3,C27H50NO7P,"Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Lipid Species",10212,LPE 22:3_530.324_1.75_[M-H]-_Medium,[M-H]-,Lipid Species,2,2,Medium,,34.1,721.2,-2.998,0,0,0,0,0,0,27671,28302,31134,46422,25516,34523.6,27815,27955,70371,29161,64519,26103,26226,25078,31307,40779,34406
1.38,223.7,528.30781,LPE 22:4,C27H48NO7P,"Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Lipid Species",10222,LPE 22:4_528.308_1.38_[M-H]-_High,[M-H]-,Lipid Species,3,3,High,,46.2,833.2,-3.326,0,0,0,0,0,0,72610,68469,74154,119309,69450,93839.8,77304,80633,210453,83634,161690,79660,69912,69607,81945,119648,90976
1.06,222,524.27777,LPE 22:6,C27H44NO7P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,20221,LPE 22:6_524.278_1.06_[M-H]-_Medium,[M-H]-,Spectral Library,3,3,Medium,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,26.9,925.1,-0.441,0,0,0,0,0,0,75893,75679,75995,146587,99592,129306.8,101275,100355,254165,80253,229061,100904,114939,101227,102317,141859,100610
2.35,236.2,562.38557,LPE 24:1,C29H58NO7P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,10221,LPE 24:1_562.386_2.35_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,24.2,938.3,-3.777,0,0,0,0,0,0,114637,123274,128158,146944,97421,107146,112151,132498,110002,118447,120823,84651,85607,93209,139633,93741,116747
2.01,232.8,558.35442,LPE 24:3,C29H54NO7P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,10221,LPE 24:3_558.354_2.01_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,5.3,940.9,-2.484,0,0,0,2829,0,0,47046,49437,45448,61877,40026,47958.6,34339,47331,92309,49911,80160,39682,38281,33291,50559,57813,53848
1.55,230.6,554.32308,LPE 24:5,C29H50NO7P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,10221,LPE 24:5_554.323_1.55_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,45.7,954.3,-3.842,9586,9489,7688,6927,10333,10199,10484,11435,11807,16502,10140,15634.2,9116,10032,44427,12469,40363,10730,7930,8006,10611,17192,14894
1.64,210,436.28269,LPE O-16:1,C21H44NO6P,"Lipid Species, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Lipid Species",20210,LPE O-16:1_436.283_1.64_[M-H]-_Medium,[M-H]-,Lipid Species,2,2,Medium,,29.8,626.2,-1.363,0,0,0,0,0,0,271580,279486,296038,371041,286205,514670.8,369649,379450,489274,296303,1128177,319452,376626,281213,314431,252957,334800
1.98,217,464.31384,LPE O-18:1,C23H48NO6P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,20211,LPE O-18:1_464.314_1.98_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,28.6,637.4,-1.403,4981,0,4775,3514,0,4176,2461848,2483885,2610607,2874734,2536131,3098665.8,3329496,3240881,2529376,2823815,3811101,2238278,2873573,2400342,2724824,2248489,2888629
2.22,223,492.34503,LPE O-20:1,C25H52NO6P,"Lipid Species, Lipid Species, Lipid Species, Lipid Species",20220,LPE O-20:1_492.345_2.22_[M-H]-_High,[M-H]-,Lipid Species,3,3,High,,35.8,820.7,-1.999,0,0,0,0,0,0,508399,539027,554574,526500,487202,534138.8,631169,589500,449375,566846,589698,397841,462486,491787,558991,420025,581756
1.1,217.8,483.27155,LPG 16:0,C22H45O9P,"Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Lipid Species, Lipid Species",10120,LPG 16:0_483.272_1.1_[M-H]-_low,[M-H]-,Lipid Species,1,1,low,,59.7,887.4,-2.521,0,0,0,0,0,0,28728,29087,28274,60677,49786,51791.4,41308,52481,56772,29429,90543,29995,44630,43909,57234,36894,34474
0.91,214.6,481.25556,LPG 16:1,C22H43O9P,"Lipid Species, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",10210,LPG 16:1_481.256_0.91_[M-H]-_low,[M-H]-,Lipid Species,1,1,low,,33.3,749.9,-3.391,0,0,0,0,0,0,14858,18208,19144,50999,60754,37399.2,31173,43175,56817,18543,58355,20854,33439,57963,59812,48640,25553
0.83,214.7,479.24036,LPG 16:2,C22H41O9P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,10221,LPG 16:2_479.24_0.83_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,27.8,978.2,-2.495,0,0,0,0,0,0,10113,11019,13296,12338,11909,7999.6,7832,6363,9775,8867,11146,5539,9118,12804,11360,7726,12089
1.48,225,511.30191,LPG 18:0,C24H49O9P,"Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Lipid Species",10220,LPG 18:0_511.302_1.48_[M-H]-_Medium,[M-H]-,Lipid Species,2,2,Medium,,30.6,840.1,-4.573,0,0,0,0,0,0,28257,28490,33449,68255,50424,55831.4,57413,56594,33377,35033,79641,31134,54375,44814,52533,26849,40597
1.59,225.6,511.30256,LPG 18:0,C24H49O9P,"Lipid Species, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",10110,LPG 18:0_511.303_1.59_[M-H]-_low,[M-H]-,Lipid Species,0,0,low,,76.6,619.9,-2.601,0,0,0,0,0,0,15474,16311,16221,25118,24164,29048.2,24247,23518,30910,19550,55754,13112,28610,23816,24383,17447,19142
1.14,222.3,509.28848,LPG 18:1,C24H47O9P,"Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Lipid Species",20220,LPG 18:1_509.288_1.14_[M-H]-_High,[M-H]-,Lipid Species,3,3,High,,8.6,801.9,-0.217,0,0,0,0,0,0,222139,239065,250988,700950,628684,471017.2,382163,530270,527734,275876,760827,242004,439822,569888,651091,368980,332626
0.78,220.4,507.2712,LPG 18:2,C24H45O9P,"Lipid Species, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",10220,LPG 18:2_507.271_0.78_[M-H]-_Medium,[M-H]-,Lipid Species,2,2,Medium,,30.6,877.8,-3.338,0,0,0,0,1007,1456,31420,26347,28688,0,0,224.4,0,1122,0,19951,0,0,0,0,0,0,13540
0.97,221.1,507.27142,LPG 18:2,C24H45O9P,Lipid Species,10110,LPG 18:2_507.271_0.97_[M-H]-_low,[M-H]-,Lipid Species,0,0,low,,62.9,694,-2.798,0,0,0,0,0,0,20715,20291,20977,56605,70635,37011.6,34406,40160,52484,24815,53369,22338,34785,57028,59692,53265,31485
1.53,230.5,537.31978,LPG 20:1,C26H51O9P,"Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Lipid Species",20110,LPG 20:1_537.32_1.53_[M-H]-_low,[M-H]-,Lipid Species,1,1,low,,79.8,705.1,-0.551,0,0,0,0,0,0,23699,26764,28006,47373,39827,39400.8,30064,35465,68969,28539,83612,18144,29719,37998,37586,29244,32339
1.22,227.6,535.30299,LPG 20:2,C26H49O9P,"Lipid Species, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",10210,LPG 20:2_535.303_1.22_[M-H]-_low,[M-H]-,Lipid Species,1,1,low,,48.2,695.8,-2.394,0,0,0,0,0,0,39008,41914,44574,115391,112892,67625.2,64318,69282,91226,52795,111996,32938,59592,95139,124431,83749,61376
1.04,225.9,533.28678,LPG 20:3,C26H47O9P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,10221,LPG 20:3_533.287_1.04_[M-H]-_low,[M-H]-,Spectral Library,2,2,low,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,37.5,965.6,-3.566,0,0,0,0,0,0,15646,17563,19488,33485,40286,22589,23251,22752,25016,19646,26294,12950,27698,38180,37225,27115,20276
0.93,224.7,531.27128,LPG 20:4,C26H45O9P,"Lipid Species, Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp",10110,LPG 20:4_531.271_0.93_[M-H]-_low,[M-H]-,Lipid Species,0,0,low,,59.4,646.1,-3.188,0,0,0,0,0,0,15047,19149,16093,49962,62275,31531.2,35269,34740,35246,16168,30534,22829,34284,61293,47584,34780,22976
1.37,233.1,561.3177,LPG 22:3,C28H51O9P,"Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp, Lipid Species",10220,LPG 22:3_561.318_1.37_[M-H]-_Medium,[M-H]-,Lipid Species,2,2,Medium,,45.6,875.1,-3.731,0,0,0,0,0,0,9582,9856,10686,16412,23573,12836.6,13460,15023,13998,12272,10387,8901,16412,19153,19347,13899,13327
1.12,231.2,559.30197,LPG 22:4,C28H49O9P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,10121,LPG 22:4_559.302_1.12_[M-H]-_low,[M-H]-,Spectral Library,1,1,low,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,60.2,912.8,-3.622,0,0,0,0,0,0,15186,14495,13828,24781,32774,27697.2,29469,25533,23992,15777,33095,17093,33296,29909,25195,21517,18738
0.9,228.5,555.27176,LPG 22:6,C28H45O9P,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,20221,LPG 22:6_555.272_0.9_[M-H]-_Medium,[M-H]-,Spectral Library,3,3,Medium,MSDIAL-TandemMassSpectralAtlas-VS69-Neg.msp,39.5,949.3,-1.871,0,0,0,0,0,0,93012,102265,104669,281594,331039,378467.6,491031,377509,136360,116726,258455,230990,534353,319728,260675,173224,131656
