RT [min],CCS,m/z meas.,Original annotation,Molecular Formula,Annotations,AQ,Name for process,Ions,ID library,Positive id forms,Positive id forms formatted,ID confidence,Annotation Source,mSigma,MS/MS score,mz,BlankC1,BlankC2,BlankC3,BlankC4,BlankC5,BlankC6,QC01,QC02,QC03,E3,E6,F3,F5,F4,E2,QC04,F2,F1,F6,E5,E4,E1,QC05
1.98,251.8,637.38864,,,,,_637.389_1.98__,,,0,0,,,,,,0,0,0,0,0,7189,18880,21867,18748,5205,0,14019,13185,12792,41522,26324,32165,11953,0,14126,13563,14879,20027
1.98,289,795.59513,,,,,_795.595_1.98__,,,0,0,,,,,,4129,0,0,0,0,0,92749,101223,81765,116703,98918,78439.4,55943,74583,167746,81729,134901,64512,62258,120655,107431,102147,81842
1.98,260.9,696.42376,,,,,_696.424_1.98__,,,0,0,,,,,,0,0,0,0,0,0,16786,20451,19854,25299,0,20789.6,15958,15319,26779,19884,41536,13946,17189,10606,12086,7782,20298
1.97,235.6,562.34822,,,,,_562.348_1.97__,,,0,0,,,,,,3541,3509,4293,3618,4837,4217,33468,31972,31356,47563,33390,41104.2,37788,36064,36996,34147,60117,30855,40697,29660,28187,39368,36287
1.97,228.6,529.31873,,,,,_529.319_1.97_[M-H]-_,[M-H]-,,0,0,,,,,,0,7054,6514,0,9614,7384,0,0,4774,6498,7078,10752.8,13116,4914,0,6984,10805,5745,19184,6240,8721,6792,0
1.97,275.9,733.65179,,,,,_733.652_1.97__,,,0,0,,,,,,506366,691083,530059,616112,611906,677470,23612,24484,20433,35738,48957,36178.8,52813,38357,0,19781,0,46400,43324,45415,43728,49000,22103
1.97,249.1,582.37624,,,,,_582.376_1.97_[M-H]-_,[M-H]-,,0,0,,,,,,0,0,8545,0,0,0,15830,17777,14372,21677,18226,18451.6,17231,15493,21896,14511,25992,13702,19840,16805,17459,18226,15642
1.97,273.9,722.46145,,,,,_722.461_1.97__,,,0,0,,,,,,0,0,0,0,0,0,24375,25639,21756,18829,11998,18834.4,0,15038,0,22987,21845,30121,27168,7099,0,26228,0
1.97,232.1,521.3283,,,,,_521.328_1.97__,,,0,0,,,,,,37995,4198,7087,71228,139672,7799,22068,20647,26448,14171,0,16142.2,24125,15660,0,34641,15600,5419,19907,12374,9193,39138,41487
1.97,210.9,405.26527,,,,,_405.265_1.97__,,,0,0,,,,,,12285,13121,9627,10854,11775,13208,30336,29559,22084,43946,32615,25102.6,31370,37818,50863,30219,0,20447,35878,28692,37147,30420,29971
1.97,225.3,499.30626,,,,,_499.306_1.97__,,,0,0,,,,,,29146,20868,22695,22495,25625,29794,0,0,0,29638,28120,19939,25655,20618,26113,0,27666,0,25756,24124,23212,24218,21839
1.97,309,965.53032,,,,,_965.53_1.97__,,,0,0,,,,,,0,0,0,0,0,5744,3339,3546,0,11105,0,0,0,0,9455,7222,0,0,0,3812,5029,8961,9218
1.97,303.4,931.51999,,,,,_931.52_1.97__,,,0,0,,,,,,0,0,0,0,0,0,22891,24524,25259,45696,23640,21768.2,28714,22627,39751,24973,27964,9330,20206,27145,34247,23677,26816
1.99,288.2,777.60515,,,,,_777.605_1.99_[M-H]-_,[M-H]-,,0,0,,,,,,0,0,0,0,0,0,14277,14905,13588,0,14751,18372,20118,23731,13576,14255,18201,13924,15886,16774,12556,9384,13451
1.99,212.9,433.31751,,,,,_433.318_1.99__,,,0,0,,,,,,0,0,0,0,0,0,17126,0,18142,28010,25221,23519.8,31794,27168,18131,19640,27128,0,31509,20591,29951,0,20745
2,285.1,771.59455,,,,,_771.595_2__,,,0,0,,,,,,0,4432,0,3240,4766,3959,121729,105169,111252,76665,86266,131847.8,65652,115948,266044,117113,322815,73239,81585,121550,84372,101822,112084
